     sl2_layer2_s2 | region1_s2 | 2.531659*cm -7.2472913*cm 3.48569*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146391*cm 6.0990201*cm 88.3685783*cm 0.1323475*rad 79.1146391*cm 6.0990201*cm 88.3685783*cm 0.1323475*rad  |    2   1   2   2
     sl2_layer3_s2 | region1_s2 | 2.5668423*cm -6.5396076*cm 4.69835*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146394*cm 6.755445*cm 89.0250035*cm 0.1323475*rad 79.1146394*cm 6.755445*cm 89.0250035*cm 0.1323475*rad  |    2   1   2   3
     sl2_layer4_s2 | region1_s2 | 2.5630034*cm -7.2439972*cm 5.91101*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146394*cm 6.683821*cm 88.9533795*cm 0.1323475*rad 79.1146394*cm 6.683821*cm 88.9533795*cm 0.1323475*rad  |    2   1   2   4
     sl2_layer5_s2 | region1_s2 | 2.5981868*cm -6.5363134*cm 7.12367*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146396*cm 7.3402459*cm 89.6098047*cm 0.1323475*rad 79.1146396*cm 7.3402459*cm 89.6098047*cm 0.1323475*rad  |    2   1   2   5
     sl2_layer6_s2 | region1_s2 | 2.5943478*cm -7.240703*cm 8.33633*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146396*cm 7.268622*cm 89.5381807*cm 0.1323475*rad 79.1146396*cm 7.268622*cm 89.5381807*cm 0.1323475*rad  |    2   1   2   6
        region1_s3 |     root | -48.5231006*cm 84.0444756*cm 216.9864321*cm | ordered: zxy -30*deg 25*deg 0*deg |   G4Trap | 9.08899*cm -0.4363323*rad 1.5707963*rad 91.7798066*cm 4.1156278*cm 97.5998732*cm 0*rad 91.7798066*cm 4.1156278*cm 97.5998732*cm 0*rad  |    3   1   0   0
     sl1_layer1_s3 | region1_s3 | -2.4349782*cm -5.2078477*cm -8.39051*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799044*cm 6.133069*cm 84.7269351*cm -0.1323475*rad 75.5799044*cm 6.133069*cm 84.7269351*cm -0.1323475*rad  |    3   1   1   1
     sl1_layer2_s3 | region1_s3 | -2.4313108*cm -5.8807661*cm -7.23203*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799044*cm 6.0646451*cm 84.6585112*cm -0.1323475*rad 75.5799044*cm 6.0646451*cm 84.6585112*cm -0.1323475*rad  |    3   1   1   2
     sl1_layer3_s3 | region1_s3 | -2.4649222*cm -5.2047008*cm -6.07355*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799047*cm 6.6917418*cm 85.2856082*cm -0.1323475*rad 75.5799047*cm 6.6917418*cm 85.2856082*cm -0.1323475*rad  |    3   1   1   3
     sl1_layer4_s3 | region1_s3 | -2.4612548*cm -5.8776191*cm -4.91507*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799047*cm 6.6233179*cm 85.2171842*cm -0.1323475*rad 75.5799047*cm 6.6233179*cm 85.2171842*cm -0.1323475*rad  |    3   1   1   4
     sl1_layer5_s3 | region1_s3 | -2.4948662*cm -5.2015538*cm -3.75659*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.579905*cm 7.2504146*cm 85.8442813*cm -0.1323475*rad 75.579905*cm 7.2504146*cm 85.8442813*cm -0.1323475*rad  |    3   1   1   5
     sl1_layer6_s3 | region1_s3 | -2.4911988*cm -5.8744721*cm -2.59811*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799049*cm 7.1819907*cm 85.7758573*cm -0.1323475*rad 75.5799049*cm 7.1819907*cm 85.7758573*cm -0.1323475*rad  |    3   1   1   6
     sl2_layer1_s3 | region1_s3 | 2.5354979*cm -6.5429018*cm 2.27303*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146391*cm 6.1706441*cm 88.4402023*cm 0.1323475*rad 79.1146391*cm 6.1706441*cm 88.4402023*cm 0.1323475*rad  |    3   1   2   1
     sl2_layer2_s3 | region1_s3 | 2.531659*cm -7.2472913*cm 3.48569*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146391*cm 6.0990201*cm 88.3685783*cm 0.1323475*rad 79.1146391*cm 6.0990201*cm 88.3685783*cm 0.1323475*rad  |    3   1   2   2
     sl2_layer3_s3 | region1_s3 | 2.5668423*cm -6.5396076*cm 4.69835*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146394*cm 6.755445*cm 89.0250035*cm 0.1323475*rad 79.1146394*cm 6.755445*cm 89.0250035*cm 0.1323475*rad  |    3   1   2   3
     sl2_layer4_s3 | region1_s3 | 2.5630034*cm -7.2439972*cm 5.91101*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146394*cm 6.683821*cm 88.9533795*cm 0.1323475*rad 79.1146394*cm 6.683821*cm 88.9533795*cm 0.1323475*rad  |    3   1   2   4
     sl2_layer5_s3 | region1_s3 | 2.5981868*cm -6.5363134*cm 7.12367*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146396*cm 7.3402459*cm 89.6098047*cm 0.1323475*rad 79.1146396*cm 7.3402459*cm 89.6098047*cm 0.1323475*rad  |    3   1   2   5
     sl2_layer6_s3 | region1_s3 | 2.5943478*cm -7.240703*cm 8.33633*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146396*cm 7.268622*cm 89.5381807*cm 0.1323475*rad 79.1146396*cm 7.268622*cm 89.5381807*cm 0.1323475*rad  |    3   1   2   6
        region1_s4 |     root | -97.0462012*cm 0*cm 216.9864321*cm | ordered: zxy -90*deg 25*deg 0*deg |   G4Trap | 9.08899*cm -0.4363323*rad 1.5707963*rad 91.7798066*cm 4.1156278*cm 97.5998732*cm 0*rad 91.7798066*cm 4.1156278*cm 97.5998732*cm 0*rad  |    4   1   0   0
     sl1_layer1_s4 | region1_s4 | -2.4349782*cm -5.2078477*cm -8.39051*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799044*cm 6.133069*cm 84.7269351*cm -0.1323475*rad 75.5799044*cm 6.133069*cm 84.7269351*cm -0.1323475*rad  |    4   1   1   1
     sl1_layer2_s4 | region1_s4 | -2.4313108*cm -5.8807661*cm -7.23203*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799044*cm 6.0646451*cm 84.6585112*cm -0.1323475*rad 75.5799044*cm 6.0646451*cm 84.6585112*cm -0.1323475*rad  |    4   1   1   2
     sl1_layer3_s4 | region1_s4 | -2.4649222*cm -5.2047008*cm -6.07355*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799047*cm 6.6917418*cm 85.2856082*cm -0.1323475*rad 75.5799047*cm 6.6917418*cm 85.2856082*cm -0.1323475*rad  |    4   1   1   3
     sl1_layer4_s4 | region1_s4 | -2.4612548*cm -5.8776191*cm -4.91507*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799047*cm 6.6233179*cm 85.2171842*cm -0.1323475*rad 75.5799047*cm 6.6233179*cm 85.2171842*cm -0.1323475*rad  |    4   1   1   4
     sl1_layer5_s4 | region1_s4 | -2.4948662*cm -5.2015538*cm -3.75659*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.579905*cm 7.2504146*cm 85.8442813*cm -0.1323475*rad 75.579905*cm 7.2504146*cm 85.8442813*cm -0.1323475*rad  |    4   1   1   5
     sl1_layer6_s4 | region1_s4 | -2.4911988*cm -5.8744721*cm -2.59811*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799049*cm 7.1819907*cm 85.7758573*cm -0.1323475*rad 75.5799049*cm 7.1819907*cm 85.7758573*cm -0.1323475*rad  |    4   1   1   6
     sl2_layer1_s4 | region1_s4 | 2.5354979*cm -6.5429018*cm 2.27303*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146391*cm 6.1706441*cm 88.4402023*cm 0.1323475*rad 79.1146391*cm 6.1706441*cm 88.4402023*cm 0.1323475*rad  |    4   1   2   1
     sl2_layer2_s4 | region1_s4 | 2.531659*cm -7.2472913*cm 3.48569*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146391*cm 6.0990201*cm 88.3685783*cm 0.1323475*rad 79.1146391*cm 6.0990201*cm 88.3685783*cm 0.1323475*rad  |    4   1   2   2
     sl2_layer3_s4 | region1_s4 | 2.5668423*cm -6.5396076*cm 4.69835*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146394*cm 6.755445*cm 89.0250035*cm 0.1323475*rad 79.1146394*cm 6.755445*cm 89.0250035*cm 0.1323475*rad  |    4   1   2   3
     sl2_layer4_s4 | region1_s4 | 2.5630034*cm -7.2439972*cm 5.91101*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146394*cm 6.683821*cm 88.9533795*cm 0.1323475*rad 79.1146394*cm 6.683821*cm 88.9533795*cm 0.1323475*rad  |    4   1   2   4
     sl2_layer5_s4 | region1_s4 | 2.5981868*cm -6.5363134*cm 7.12367*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146396*cm 7.3402459*cm 89.6098047*cm 0.1323475*rad 79.1146396*cm 7.3402459*cm 89.6098047*cm 0.1323475*rad  |    4   1   2   5
     sl2_layer6_s4 | region1_s4 | 2.5943478*cm -7.240703*cm 8.33633*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146396*cm 7.268622*cm 89.5381807*cm 0.1323475*rad 79.1146396*cm 7.268622*cm 89.5381807*cm 0.1323475*rad  |    4   1   2   6
        region1_s5 |     root | -48.5231006*cm -84.0444756*cm 216.9864321*cm | ordered: zxy -150*deg 25*deg 0*deg |   G4Trap | 9.08899*cm -0.4363323*rad 1.5707963*rad 91.7798066*cm 4.1156278*cm 97.5998732*cm 0*rad 91.7798066*cm 4.1156278*cm 97.5998732*cm 0*rad  |    5   1   0   0
     sl1_layer1_s5 | region1_s5 | -2.4349782*cm -5.2078477*cm -8.39051*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799044*cm 6.133069*cm 84.7269351*cm -0.1323475*rad 75.5799044*cm 6.133069*cm 84.7269351*cm -0.1323475*rad  |    5   1   1   1
     sl1_layer2_s5 | region1_s5 | -2.4313108*cm -5.8807661*cm -7.23203*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799044*cm 6.0646451*cm 84.6585112*cm -0.1323475*rad 75.5799044*cm 6.0646451*cm 84.6585112*cm -0.1323475*rad  |    5   1   1   2
     sl1_layer3_s5 | region1_s5 | -2.4649222*cm -5.2047008*cm -6.07355*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799047*cm 6.6917418*cm 85.2856082*cm -0.1323475*rad 75.5799047*cm 6.6917418*cm 85.2856082*cm -0.1323475*rad  |    5   1   1   3
     sl1_layer4_s5 | region1_s5 | -2.4612548*cm -5.8776191*cm -4.91507*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799047*cm 6.6233179*cm 85.2171842*cm -0.1323475*rad 75.5799047*cm 6.6233179*cm 85.2171842*cm -0.1323475*rad  |    5   1   1   4
     sl1_layer5_s5 | region1_s5 | -2.4948662*cm -5.2015538*cm -3.75659*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.579905*cm 7.2504146*cm 85.8442813*cm -0.1323475*rad 75.579905*cm 7.2504146*cm 85.8442813*cm -0.1323475*rad  |    5   1   1   5
     sl1_layer6_s5 | region1_s5 | -2.4911988*cm -5.8744721*cm -2.59811*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799049*cm 7.1819907*cm 85.7758573*cm -0.1323475*rad 75.5799049*cm 7.1819907*cm 85.7758573*cm -0.1323475*rad  |    5   1   1   6
     sl2_layer1_s5 | region1_s5 | 2.5354979*cm -6.5429018*cm 2.27303*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146391*cm 6.1706441*cm 88.4402023*cm 0.1323475*rad 79.1146391*cm 6.1706441*cm 88.4402023*cm 0.1323475*rad  |    5   1   2   1
     sl2_layer2_s5 | region1_s5 | 2.531659*cm -7.2472913*cm 3.48569*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146391*cm 6.0990201*cm 88.3685783*cm 0.1323475*rad 79.1146391*cm 6.0990201*cm 88.3685783*cm 0.1323475*rad  |    5   1   2   2
     sl2_layer3_s5 | region1_s5 | 2.5668423*cm -6.5396076*cm 4.69835*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146394*cm 6.755445*cm 89.0250035*cm 0.1323475*rad 79.1146394*cm 6.755445*cm 89.0250035*cm 0.1323475*rad  |    5   1   2   3
     sl2_layer4_s5 | region1_s5 | 2.5630034*cm -7.2439972*cm 5.91101*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146394*cm 6.683821*cm 88.9533795*cm 0.1323475*rad 79.1146394*cm 6.683821*cm 88.9533795*cm 0.1323475*rad  |    5   1   2   4
     sl2_layer5_s5 | region1_s5 | 2.5981868*cm -6.5363134*cm 7.12367*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146396*cm 7.3402459*cm 89.6098047*cm 0.1323475*rad 79.1146396*cm 7.3402459*cm 89.6098047*cm 0.1323475*rad  |    5   1   2   5
     sl2_layer6_s5 | region1_s5 | 2.5943478*cm -7.240703*cm 8.33633*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146396*cm 7.268622*cm 89.5381807*cm 0.1323475*rad 79.1146396*cm 7.268622*cm 89.5381807*cm 0.1323475*rad  |    5   1   2   6
        region1_s6 |     root | 48.5231006*cm -84.0444756*cm 216.9864321*cm | ordered: zxy -210*deg 25*deg 0*deg |   G4Trap | 9.08899*cm -0.4363323*rad 1.5707963*rad 91.7798066*cm 4.1156278*cm 97.5998732*cm 0*rad 91.7798066*cm 4.1156278*cm 97.5998732*cm 0*rad  |    6   1   0   0
     sl1_layer1_s6 | region1_s6 | -2.4349782*cm -5.2078477*cm -8.39051*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799044*cm 6.133069*cm 84.7269351*cm -0.1323475*rad 75.5799044*cm 6.133069*cm 84.7269351*cm -0.1323475*rad  |    6   1   1   1
     sl1_layer2_s6 | region1_s6 | -2.4313108*cm -5.8807661*cm -7.23203*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799044*cm 6.0646451*cm 84.6585112*cm -0.1323475*rad 75.5799044*cm 6.0646451*cm 84.6585112*cm -0.1323475*rad  |    6   1   1   2
     sl1_layer3_s6 | region1_s6 | -2.4649222*cm -5.2047008*cm -6.07355*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799047*cm 6.6917418*cm 85.2856082*cm -0.1323475*rad 75.5799047*cm 6.6917418*cm 85.2856082*cm -0.1323475*rad  |    6   1   1   3
     sl1_layer4_s6 | region1_s6 | -2.4612548*cm -5.8776191*cm -4.91507*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799047*cm 6.6233179*cm 85.2171842*cm -0.1323475*rad 75.5799047*cm 6.6233179*cm 85.2171842*cm -0.1323475*rad  |    6   1   1   4
     sl1_layer5_s6 | region1_s6 | -2.4948662*cm -5.2015538*cm -3.75659*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.579905*cm 7.2504146*cm 85.8442813*cm -0.1323475*rad 75.579905*cm 7.2504146*cm 85.8442813*cm -0.1323475*rad  |    6   1   1   5
     sl1_layer6_s6 | region1_s6 | -2.4911988*cm -5.8744721*cm -2.59811*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799049*cm 7.1819907*cm 85.7758573*cm -0.1323475*rad 75.5799049*cm 7.1819907*cm 85.7758573*cm -0.1323475*rad  |    6   1   1   6
     sl2_layer1_s6 | region1_s6 | 2.5354979*cm -6.5429018*cm 2.27303*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146391*cm 6.1706441*cm 88.4402023*cm 0.1323475*rad 79.1146391*cm 6.1706441*cm 88.4402023*cm 0.1323475*rad  |    6   1   2   1
     sl2_layer2_s6 | region1_s6 | 2.531659*cm -7.2472913*cm 3.48569*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146391*cm 6.0990201*cm 88.3685783*cm 0.1323475*rad 79.1146391*cm 6.0990201*cm 88.3685783*cm 0.1323475*rad  |    6   1   2   2
     sl2_layer3_s6 | region1_s6 | 2.5668423*cm -6.5396076*cm 4.69835*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146394*cm 6.755445*cm 89.0250035*cm 0.1323475*rad 79.1146394*cm 6.755445*cm 89.0250035*cm 0.1323475*rad  |    6   1   2   3
     sl2_layer4_s6 | region1_s6 | 2.5630034*cm -7.2439972*cm 5.91101*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146394*cm 6.683821*cm 88.9533795*cm 0.1323475*rad 79.1146394*cm 6.683821*cm 88.9533795*cm 0.1323475*rad  |    6   1   2   4
