          region3_s2  |                root  |CLAS12 Drift Chambers, Sector 2 Region 3  |      113.5675743*cm 196.7048087*cm 457.4222193*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |20.877781*cm -0.4363323*rad 1.5707963*rad 216.0649726*cm 8.4637803*cm 229.4060117*cm 0*rad 216.0649726*cm 8.4637803*cm 229.4060117*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region3_s3  |                root  |CLAS12 Drift Chambers, Sector 3 Region 3  |     -113.5675743*cm 196.7048087*cm 457.4222193*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |20.877781*cm -0.4363323*rad 1.5707963*rad 216.0649726*cm 8.4637803*cm 229.4060117*cm 0*rad 216.0649726*cm 8.4637803*cm 229.4060117*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region3_s4  |                root  |CLAS12 Drift Chambers, Sector 4 Region 3  |               -227.1351485*cm 0*cm 457.4222193*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |20.877781*cm -0.4363323*rad 1.5707963*rad 216.0649726*cm 8.4637803*cm 229.4060117*cm 0*rad 216.0649726*cm 8.4637803*cm 229.4060117*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region3_s5  |                root  |CLAS12 Drift Chambers, Sector 5 Region 3  |    -113.5675743*cm -196.7048087*cm 457.4222193*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | aa0000   |              G4Trap  |20.877781*cm -0.4363323*rad 1.5707963*rad 216.0649726*cm 8.4637803*cm 229.4060117*cm 0*rad 216.0649726*cm 8.4637803*cm 229.4060117*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region3_s6  |                root  |CLAS12 Drift Chambers, Sector 6 Region 3  |     113.5675743*cm -196.7048087*cm 457.4222193*cm  |      ordered: zxy -210*deg 25*deg 0*deg  | aa0000   |              G4Trap  |20.877781*cm -0.4363323*rad 1.5707963*rad 216.0649726*cm 8.4637803*cm 229.4060117*cm 0*rad 216.0649726*cm 8.4637803*cm 229.4060117*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
       sl1_layer1_s1  |          region1_s1  |Region 1, Super Layer 1, layer 1, Sector 1  |           -2.4349782*cm -5.2078477*cm -8.39051*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799044*cm 6.133069*cm 84.7269351*cm -0.1323475*rad 75.5799044*cm 6.133069*cm 84.7269351*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s2  |          region1_s2  |Region 1, Super Layer 1, layer 1, Sector 2  |           -2.4349782*cm -5.2078477*cm -8.39051*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799044*cm 6.133069*cm 84.7269351*cm -0.1323475*rad 75.5799044*cm 6.133069*cm 84.7269351*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s3  |          region1_s3  |Region 1, Super Layer 1, layer 1, Sector 3  |           -2.4349782*cm -5.2078477*cm -8.39051*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799044*cm 6.133069*cm 84.7269351*cm -0.1323475*rad 75.5799044*cm 6.133069*cm 84.7269351*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s4  |          region1_s4  |Region 1, Super Layer 1, layer 1, Sector 4  |           -2.4349782*cm -5.2078477*cm -8.39051*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799044*cm 6.133069*cm 84.7269351*cm -0.1323475*rad 75.5799044*cm 6.133069*cm 84.7269351*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s5  |          region1_s5  |Region 1, Super Layer 1, layer 1, Sector 5  |           -2.4349782*cm -5.2078477*cm -8.39051*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799044*cm 6.133069*cm 84.7269351*cm -0.1323475*rad 75.5799044*cm 6.133069*cm 84.7269351*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s6  |          region1_s6  |Region 1, Super Layer 1, layer 1, Sector 6  |           -2.4349782*cm -5.2078477*cm -8.39051*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799044*cm 6.133069*cm 84.7269351*cm -0.1323475*rad 75.5799044*cm 6.133069*cm 84.7269351*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer2_s1  |          region1_s1  |Region 1, Super Layer 1, layer 2, Sector 1  |           -2.4313108*cm -5.8807661*cm -7.23203*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799044*cm 6.0646451*cm 84.6585112*cm -0.1323475*rad 75.5799044*cm 6.0646451*cm 84.6585112*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s2  |          region1_s2  |Region 1, Super Layer 1, layer 2, Sector 2  |           -2.4313108*cm -5.8807661*cm -7.23203*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799044*cm 6.0646451*cm 84.6585112*cm -0.1323475*rad 75.5799044*cm 6.0646451*cm 84.6585112*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s3  |          region1_s3  |Region 1, Super Layer 1, layer 2, Sector 3  |           -2.4313108*cm -5.8807661*cm -7.23203*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799044*cm 6.0646451*cm 84.6585112*cm -0.1323475*rad 75.5799044*cm 6.0646451*cm 84.6585112*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s4  |          region1_s4  |Region 1, Super Layer 1, layer 2, Sector 4  |           -2.4313108*cm -5.8807661*cm -7.23203*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799044*cm 6.0646451*cm 84.6585112*cm -0.1323475*rad 75.5799044*cm 6.0646451*cm 84.6585112*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s5  |          region1_s5  |Region 1, Super Layer 1, layer 2, Sector 5  |           -2.4313108*cm -5.8807661*cm -7.23203*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799044*cm 6.0646451*cm 84.6585112*cm -0.1323475*rad 75.5799044*cm 6.0646451*cm 84.6585112*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 2 wire manual 1 
