superlayer1_layer1_ahdccell1_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      33.924074*mm       2.270950*mm      34.000000*mm       0.000000*mm      30.000000*mm       0.000000*mm      29.933006*mm       2.003779*mm      32.791958*mm      -8.982623*mm      32.118756*mm     -11.152825*mm      28.340079*mm      -9.840728*mm      28.934080*mm      -7.925844*mm  |  1 1 1
superlayer1_layer1_ahdccell1_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      29.933006*mm       2.003779*mm      29.732325*mm       3.998609*mm      33.696635*mm       4.531756*mm      33.924074*mm       2.270950*mm      28.934080*mm      -7.925844*mm      29.398855*mm      -5.975561*mm      33.318702*mm      -6.772302*mm      32.791958*mm      -8.982623*mm  |  1 1 1
superlayer1_layer1_ahdccell2_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      33.318698*mm       6.772323*mm      33.696635*mm       4.531756*mm      29.732325*mm       3.998609*mm      29.398851*mm       5.975580*mm      33.696637*mm      -4.531735*mm      33.318702*mm      -6.772302*mm      29.398855*mm      -5.975561*mm      29.732327*mm      -3.998590*mm  |  1 1 2
superlayer1_layer1_ahdccell2_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      29.398851*mm       5.975580*mm      28.934075*mm       7.925862*mm      32.791952*mm       8.982644*mm      33.318698*mm       6.772323*mm      29.732327*mm      -3.998590*mm      29.933008*mm      -2.003760*mm      33.924075*mm      -2.270928*mm      33.696637*mm      -4.531735*mm  |  1 1 2
superlayer1_layer1_ahdccell3_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      32.118749*mm      11.152845*mm      32.791952*mm       8.982644*mm      28.934075*mm       7.925862*mm      28.340073*mm       9.840746*mm      34.000000*mm       0.000021*mm      33.924075*mm      -2.270928*mm      29.933008*mm      -2.003760*mm      30.000000*mm       0.000019*mm  |  1 1 3
superlayer1_layer1_ahdccell3_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      28.340073*mm       9.840746*mm      27.619497*mm      11.711678*mm      31.302096*mm      13.273235*mm      32.118749*mm      11.152845*mm      30.000000*mm       0.000019*mm      29.933005*mm       2.003798*mm      33.924072*mm       2.270971*mm      34.000000*mm       0.000021*mm  |  1 1 3
superlayer1_layer1_ahdccell4_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      30.345640*mm      15.334344*mm      31.302096*mm      13.273235*mm      27.619497*mm      11.711678*mm      26.775565*mm      13.530304*mm      33.696632*mm       4.531778*mm      33.924072*mm       2.270971*mm      29.933005*mm       2.003798*mm      29.732322*mm       3.998627*mm  |  1 1 4
superlayer1_layer1_ahdccell4_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      26.775565*mm      13.530304*mm      25.812047*mm      15.288499*mm      29.253654*mm      17.326966*mm      30.345640*mm      15.334344*mm      29.732322*mm       3.998627*mm      29.398847*mm       5.975598*mm      33.318694*mm       6.772345*mm      33.696632*mm       4.531778*mm  |  1 1 4
superlayer1_layer1_ahdccell5_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      28.031013*mm      19.242201*mm      29.253654*mm      17.326966*mm      25.812047*mm      15.288499*mm      24.733247*mm      16.978413*mm      32.791946*mm       8.982664*mm      33.318694*mm       6.772345*mm      29.398847*mm       5.975598*mm      28.934070*mm       7.925880*mm  |  1 1 5
superlayer1_layer1_ahdccell5_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      24.733247*mm      16.978413*mm      23.543982*mm      18.592497*mm      26.683179*mm      21.071496*mm      28.031013*mm      19.242201*mm      28.934070*mm       7.925880*mm      28.340067*mm       9.840764*mm      32.118742*mm      11.152865*mm      32.791946*mm       8.982664*mm  |  1 1 5
superlayer1_layer1_ahdccell6_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      25.216172*mm      22.806681*mm      26.683179*mm      21.071496*mm      23.543982*mm      18.592497*mm      22.249563*mm      20.123542*mm      31.302088*mm      13.273255*mm      32.118742*mm      11.152865*mm      28.340067*mm       9.840764*mm      27.619489*mm      11.711696*mm  |  1 1 6
