rg1_s2_c1_muRwell_dlc_ddvcs | rg1_s2_c1_ddvcs | 0*cm -0.0812075*cm 0.17415*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s2_c1_capa_sharing_layer1_glue_ddvcs | rg1_s2_c1_ddvcs | 0*cm -0.0814406*cm 0.17465*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s2_c1_capa_sharing_layer1_Cr_ddvcs | rg1_s2_c1_ddvcs | 0*cm -0.082723*cm 0.1774*cm | 0 0 0 |   G4Trap | 0.0025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s2_c1_capa_sharing_layer1_kapton_ddvcs | rg1_s2_c1_ddvcs | 0*cm -0.0840053*cm 0.18015*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s2_c1_capa_sharing_layer2_glue_ddvcs | rg1_s2_c1_ddvcs | 0*cm -0.0842385*cm 0.18065*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s2_c1_capa_sharing_layer2_Cr_ddvcs | rg1_s2_c1_ddvcs | 0*cm -0.0855208*cm 0.1834*cm | 0 0 0 |   G4Trap | 0.0025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s2_c1_capa_sharing_layer2_kapton_ddvcs | rg1_s2_c1_ddvcs | 0*cm -0.0868032*cm 0.18615*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s2_c1_readout1_glue_ddvcs | rg1_s2_c1_ddvcs | 0*cm -0.0880855*cm 0.1889*cm | 0 0 0 |   G4Trap | 0.0025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s2_c1_readout1_Cu_ddvcs | rg1_s2_c1_ddvcs | 0*cm -0.0893679*cm 0.19165*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s2_c1_readout1_kapton_ddvcs | rg1_s2_c1_ddvcs | 0*cm -0.0906502*cm 0.1944*cm | 0 0 0 |   G4Trap | 0.0025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s2_c1_readout2_glue_ddvcs | rg1_s2_c1_ddvcs | 0*cm -0.0929817*cm 0.1994*cm | 0 0 0 |   G4Trap | 0.0025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s2_c1_readout2_Cu_ddvcs | rg1_s2_c1_ddvcs | 0*cm -0.0942641*cm 0.20215*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s2_c1_readout2_kapton_ddvcs | rg1_s2_c1_ddvcs | 0*cm -0.0955464*cm 0.2049*cm | 0 0 0 |   G4Trap | 0.0025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s2_c1_readout3_glue_ddvcs | rg1_s2_c1_ddvcs | 0*cm -0.097878*cm 0.2099*cm | 0 0 0 |   G4Trap | 0.0025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s2_c1_support_skin1_g10_ddvcs | rg1_s2_c1_ddvcs | 0*cm -0.1020048*cm 0.21875*cm | 0 0 0 |   G4Trap | 0.00635*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s2_c1_support_honeycomb_nomex_ddvcs | rg1_s2_c1_ddvcs | 0*cm -0.174912*cm 0.3751*cm | 0 0 0 |   G4Trap | 0.15*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s2_c1_support_skin2_g10_ddvcs | rg1_s2_c1_ddvcs | 0*cm -0.2477726*cm 0.53135*cm | 0 0 0 |   G4Trap | 0.00625*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
region_uRwell_1_s3_ddvcs |     root | -8.2903277*cm 14.3592689*cm 44.0167378*cm | ordered: zxy -30*deg 25*deg 0*deg |   G4Trap | 0.6376*cm -0.4363323*rad 1.5707963*rad 11.9448354*cm 3.307*cm 15.4793953*cm 0*rad 11.9448354*cm 3.307*cm 15.4793953*cm 0*rad  |    3   1   0   0
   rg1_s3_c1_ddvcs | region_uRwell_1_s3_ddvcs | 0*cm 0.05*cm 0*cm | 0 0 0 |   G4Trap | 0.5876*cm -0.4363323*rad 1.5707963*rad 11.8948354*cm 3.257*cm 15.3274902*cm 0*rad 11.8948354*cm 3.257*cm 15.3274902*cm 0*rad  |    3   1   1   0
rg1_s3_c1_window_kapton_ddvcs | rg1_s3_c1_ddvcs | 0*cm 0.2501041*cm -0.53635*cm | 0 0 0 |   G4Trap | 0.00125*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_window_Al_ddvcs | rg1_s3_c1_ddvcs | 0*cm 0.2494047*cm -0.53485*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_window_gas_ddvcs | rg1_s3_c1_ddvcs | 0*cm 0.1793419*cm -0.3846*cm | 0 0 0 |   G4Trap | 0.15*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_cathode_kapton_ddvcs | rg1_s3_c1_ddvcs | 0*cm 0.1088129*cm -0.23335*cm | 0 0 0 |   G4Trap | 0.00125*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_cathode_Al_ddvcs | rg1_s3_c1_ddvcs | 0*cm 0.1081134*cm -0.23185*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_cathode_gas_ddvcs | rg1_s3_c1_ddvcs | 0*cm 0.0147353*cm -0.0316*cm | 0 0 0 |   G4Trap | 0.2*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_muRwell_Cu_ddvcs | rg1_s3_c1_ddvcs | 0*cm -0.0786428*cm 0.16865*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_muRwell_kapton_ddvcs | rg1_s3_c1_ddvcs | 0*cm -0.0799251*cm 0.1714*cm | 0 0 0 |   G4Trap | 0.0025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_muRwell_dlc_ddvcs | rg1_s3_c1_ddvcs | 0*cm -0.0812075*cm 0.17415*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_capa_sharing_layer1_glue_ddvcs | rg1_s3_c1_ddvcs | 0*cm -0.0814406*cm 0.17465*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_capa_sharing_layer1_Cr_ddvcs | rg1_s3_c1_ddvcs | 0*cm -0.082723*cm 0.1774*cm | 0 0 0 |   G4Trap | 0.0025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_capa_sharing_layer1_kapton_ddvcs | rg1_s3_c1_ddvcs | 0*cm -0.0840053*cm 0.18015*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_capa_sharing_layer2_glue_ddvcs | rg1_s3_c1_ddvcs | 0*cm -0.0842385*cm 0.18065*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_capa_sharing_layer2_Cr_ddvcs | rg1_s3_c1_ddvcs | 0*cm -0.0855208*cm 0.1834*cm | 0 0 0 |   G4Trap | 0.0025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_capa_sharing_layer2_kapton_ddvcs | rg1_s3_c1_ddvcs | 0*cm -0.0868032*cm 0.18615*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_readout1_glue_ddvcs | rg1_s3_c1_ddvcs | 0*cm -0.0880855*cm 0.1889*cm | 0 0 0 |   G4Trap | 0.0025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_readout1_Cu_ddvcs | rg1_s3_c1_ddvcs | 0*cm -0.0893679*cm 0.19165*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_readout1_kapton_ddvcs | rg1_s3_c1_ddvcs | 0*cm -0.0906502*cm 0.1944*cm | 0 0 0 |   G4Trap | 0.0025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_readout2_glue_ddvcs | rg1_s3_c1_ddvcs | 0*cm -0.0929817*cm 0.1994*cm | 0 0 0 |   G4Trap | 0.0025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_readout2_Cu_ddvcs | rg1_s3_c1_ddvcs | 0*cm -0.0942641*cm 0.20215*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_readout2_kapton_ddvcs | rg1_s3_c1_ddvcs | 0*cm -0.0955464*cm 0.2049*cm | 0 0 0 |   G4Trap | 0.0025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_readout3_glue_ddvcs | rg1_s3_c1_ddvcs | 0*cm -0.097878*cm 0.2099*cm | 0 0 0 |   G4Trap | 0.0025*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_support_skin1_g10_ddvcs | rg1_s3_c1_ddvcs | 0*cm -0.1020048*cm 0.21875*cm | 0 0 0 |   G4Trap | 0.00635*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_support_honeycomb_nomex_ddvcs | rg1_s3_c1_ddvcs | 0*cm -0.174912*cm 0.3751*cm | 0 0 0 |   G4Trap | 0.15*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
rg1_s3_c1_support_skin2_g10_ddvcs | rg1_s3_c1_ddvcs | 0*cm -0.2477726*cm 0.53135*cm | 0 0 0 |   G4Trap | 0.00625*cm -0.4363323*rad 1.5707963*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad 11.8448354*cm 3.207*cm 15.2774902*cm 0*rad  | 
region_uRwell_1_s4_ddvcs |     root | -16.5806555*cm 0*cm 44.0167378*cm | ordered: zxy -90*deg 25*deg 0*deg |   G4Trap | 0.6376*cm -0.4363323*rad 1.5707963*rad 11.9448354*cm 3.307*cm 15.4793953*cm 0*rad 11.9448354*cm 3.307*cm 15.4793953*cm 0*rad  |    4   1   0   0
